[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityUpdateCloudDiscoveryMetadata
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityUpdateEndpointMetadata
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Attempting to get endpoint metadata from authority configuration
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Did not find endpoint metadata in the config... Attempting to get endpoint metadata from the hardcoded values.
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityUpdateEndpointMetadata
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: authority-metadata-72e913b2-423c-4625-8fa3-c948512a9f1d-login.windows.net
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Setting cache key value store
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityResolveEndpointsAsync
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [8abcf0c7-145c-4e82-8b05-dd175e34c350] : @azure/msal-node@3.8.0 : Verbose - buildOauthClientConfiguration called
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Replacing tenant domain name 2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0 with id {tenantid}
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [8abcf0c7-145c-4e82-8b05-dd175e34c350] : @azure/msal-node@3.8.0 : Info - Building oauth client configuration with the following authority: https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/oauth2/v2.0/token.
